DI,RTE,CO,PM,AM_WAY_PHV,AM_HOUR,PM_WAY_PHV,PM_HOUR
11,5,SD,0.878,1792,11,2808,16
11,5,SD,4.632,5980,9,7687,15
11,5,SD,8.562,12200,12,15161,13
11,5,SD,11.129,8497,6,9245,14
11,5,SD,12.647,8453,6,7912,14
11,5,SD,17.53,6481,6,6241,15
11,5,SD,20.056,8067,8,8144,14
11,5,SD,20.056,7354,8,8451,16
11,5,SD,22.262,8527,6,9179,15
11,5,SD,25.947,9331,7,11182,15
11,5,SD,30.682,6020,8,5953,16
11,5,SD,30.682,10779,8,9179,14
11,5,SD,36.266,9082,7,8428,14
11,5,SD,41.509,7893,9,7705,15
11,5,SD,42.712,7237,12,7455,16
11,5,SD,51.201,7561,10,7377,15
11,5,SD,52.834,7142,11,7041,13
11,5,SD,53.932,6566,10,6357,16
12,5,ORA,0.483,6439,6,6040,16
12,5,ORA,17.472,15960,8,12737,16
12,5,ORA,30.263,10794,7,9621,14
12,5,ORA,30.263,12274,7,11211,16
12,5,ORA,33.088,12611,7,11993,16
7,5,LA,15.329,7932,4,7937,15
7,5,LA,33.981,7826,6,7161,16
7,5,LA,41.0,6920,5,7654,16
7,5,LA,56.602,5581,8,5900,16
11,5,SD,0.878,1916,10,2990,17
11,5,SD,4.632,5799,8,7658,16
11,5,SD,11.129,35406,1,43920,21
11,5,SD,12.647,8376,6,7869,14
11,5,SD,20.056,7844,8,7792,15
11,5,SD,20.056,7350,8,8381,15
11,5,SD,22.262,8510,6,9045,15
11,5,SD,30.682,6304,8,5880,16
11,5,SD,30.682,11264,8,9096,14
11,5,SD,41.509,7546,10,7493,15
11,5,SD,49.278,7218,6,7623,16
11,5,SD,51.201,7458,10,7369,13
11,5,SD,53.932,6482,11,6400,16
11,5,SD,54.39,6121,11,6130,14
12,5,ORA,0.483,6359,9,6070,18
12,5,ORA,17.472,15960,8,12737,16
12,5,ORA,24.999,10370,7,10687,16
12,5,ORA,30.263,10794,7,9621,14
12,5,ORA,30.263,12375,7,10511,13
12,5,ORA,33.088,12611,7,11993,16
7,5,LA,56.602,5581,8,5900,16
11,5,SD,0.878,1507,5,1386,16
11,5,SD,4.632,5256,7,7221,16
11,5,SD,11.129,58515,1,38130,14
11,5,SD,12.647,8013,6,7713,14
11,5,SD,17.53,6445,6,5811,14
11,5,SD,20.056,7236,8,8185,18
11,5,SD,22.262,8345,6,8843,15
11,5,SD,30.682,6261,7,5745,16
11,5,SD,30.682,8400,8,8611,17
11,5,SD,36.266,8866,8,8255,14
11,5,SD,41.509,7546,10,7493,15
11,5,SD,49.278,7195,7,7502,17
11,5,SD,52.834,6971,10,6921,15
11,5,SD,53.932,6340,10,6291,15
11,5,SD,54.39,6121,11,6130,14
12,5,ORA,0.483,6066,12,5814,16
12,5,ORA,4.995,7808,11,7641,14
12,5,ORA,17.472,15960,8,12737,16
12,5,ORA,24.999,10370,7,10687,16
12,5,ORA,30.263,17060,3,13523,20
12,5,ORA,30.263,10794,7,9621,14
12,5,ORA,33.088,12611,7,11993,16
7,5,LA,15.329,9868,12,10200,22
11,5,SD,0.878,3335,8,3020,19
11,5,SD,4.632,6401,7,7467,17
11,5,SD,8.562,9478,8,10439,18
11,5,SD,11.129,11354,9,13008,17
11,5,SD,12.647,7925,7,7574,14
11,5,SD,17.53,6209,8,6096,16
11,5,SD,20.056,6590,8,8220,15
11,5,SD,22.262,8306,8,8766,15
11,5,SD,25.947,7877,8,10384,15
11,5,SD,30.682,3955,12,4725,15
11,5,SD,30.682,6988,12,7406,15
11,5,SD,41.509,7182,10,6916,14
11,5,SD,49.278,11693,10,10880,17
11,5,SD,51.201,7152,10,6952,16
11,5,SD,52.834,11075,12,11083,16
11,5,SD,53.932,6573,10,6339,16
11,5,SD,54.39,6234,10,6993,13
12,5,ORA,0.483,6504,10,6069,18
12,5,ORA,4.995,6917,10,6458,13
12,5,ORA,17.472,8109,7,7940,17
12,5,ORA,24.999,10370,7,10687,16
12,5,ORA,30.263,11335,8,11301,16
12,5,ORA,33.088,7462,11,7912,17
7,5,LA,12.0,7054,7,6900,14
11,5,SD,0.878,1611,12,2183,15
11,5,SD,4.632,6044,7,7441,14
11,5,SD,8.562,12084,8,12433,16
11,5,SD,11.129,12906,7,14226,18
11,5,SD,12.647,7873,7,7544,14
11,5,SD,17.53,6625,7,6126,14
11,5,SD,22.262,8721,8,8753,15
11,5,SD,25.947,8561,8,9689,15
11,5,SD,30.682,3736,8,4296,15
11,5,SD,30.682,7401,8,7724,15
11,5,SD,41.509,7182,10,6916,14
11,5,SD,49.278,11542,9,12576,13
11,5,SD,51.201,6916,9,6804,13
11,5,SD,52.834,12060,11,12386,15
11,5,SD,53.932,6479,12,6258,13
11,5,SD,54.39,8416,11,8794,15
12,5,ORA,0.483,6398,11,6109,14
12,5,ORA,4.995,6738,10,6297,14
12,5,ORA,21.304,4424,8,4160,17
12,5,ORA,24.999,7527,8,7317,17
12,5,ORA,30.263,21790,12,22140,16
12,5,ORA,30.263,9963,8,9546,14
12,5,ORA,33.088,10468,6,10745,17
7,5,LA,12.0,7094,7,6696,15
7,5,LA,41.0,5982,6,5762,16
7,5,LA,55.48,5003,12,5288,17
